Verb,Function,Level_1,Level_2,Level_3,
相隔,,运动与变化,方位变化,靠近相隔,
敷衍塞责,,社会活动,社交,介绍,
走私,,社会活动,司法,违法,
慑服,,社会活动,争斗,动武,
平反,,生物活动,生活工作,造福补救,
力不从心,,生物活动,心理活动,悲伤,
耗资,,运动与变化,数量变化,减少,
打捞,,生物活动,肢体动作,洗擦浇汲,
暗藏,,生物活动,生活工作,走动,
窃窃私语,,社会活动,社交,说话,
纯熟,,性质与状态,才品,勤怠,
核实,,社会活动,管理,调查考评,
不可避免,,,,,
长久,,性质与状态,性状,久暂,
痛饮,,生物活动,头部动作,吃喝,
会诊,,社会活动,文教,医治,
抓获,,社会活动,司法,逮捕,
积聚,,社会活动,经贸,积累,
应急,,社会活动,社交,介绍,
辩白,,社会活动,争斗,辩说,
真知灼见,,,,,
侵扰,,社会活动,战争,攻占,
横挑鼻子竖挑眼,,,,,
插嘴,,社会活动,社交,说话,
逞,,生物活动,生活工作,惹事,
测评,,社会活动,管理,调查考评,
派驻,,社会活动,战争,守卫,
挟,,生物活动,肢体动作,拿掀,
革新,,社会活动,管理,改革,
手持,,,,,
拆除,,运动与变化,数量变化,消除,
升,,运动与变化,数量变化,增加,
涕,,,,,
吹奏,,社会活动,文教,演出,
长吁,,,,,
赠,,社会活动,帮助,赠送,
通缉,,社会活动,司法,逮捕,
焦急,,生物活动,心理活动,害怕,
验,,社会活动,管理,调查考评,
死缠,,社会活动,争斗,纠缠,
抵御,,社会活动,战争,抵抗,
偷笑,,,,,
录用,,社会活动,管理,任免,
首肯,,生物活动,心理活动,反对赞成,
心安理得,,生物活动,心理活动,安心,
忐忑不安,,生物活动,心理活动,害怕,
不经心,,,,,
霸占,,社会活动,管理,掌控,
恰当,,性质与状态,性质,对错,
摧毁,,社会活动,战争,攻占,
教训,,社会活动,文教,教学,
自制,,生物活动,心理活动,隐忍,
自制,,社会活动,生产,建造,
释然,,生物活动,心理活动,安心,
索,,社会活动,帮助,取予,
发扬光大,,生物活动,生活工作,造福补救,
奖掖,,社会活动,管理,任免,
不见,,,,,
推辞,,社会活动,帮助,协商,
顽固,,性质与状态,才品,进守,
顽固,,性质与状态,才品,巧拙,
畅,,生物活动,心理活动,高兴,
置身,,生物活动,生活工作,参与,
置身,,运动与变化,判断,处于,
建交,,社会活动,社交,交际,
发令,,社会活动,管理,宣布,
督查,,社会活动,管理,调查考评,
慰劳,,社会活动,社交,赞赏-祝贺-劝慰,
答礼,,,,,
惊喜,,生物活动,心理活动,高兴,
自得,,性质与状态,才品,庄谐,
沮丧,,生物活动,心理活动,悲伤,
脱离,,生物活动,生活工作,参与,
信不过,,生物活动,心理活动,相信怀疑,
狐疑,,生物活动,心理活动,相信怀疑,
心甘情愿,,生物活动,心理活动,愿意,
散,,运动与变化,事态变化,结束,
散,,运动与变化,数量变化,消除,
散,,性质与状态,性状,整缺,
散,,性质与状态,性状,紧松,
羞愧,,生物活动,心理活动,害怕,
安之若素,,生物活动,心理活动,忽视,
着想,,生物活动,心理活动,思考,
撕,,生物活动,肢体动作,拉扯,
深具,,,,,
贬抑,,社会活动,社交,批评,
认出,,,,,
设问,,,,,
减半,,运动与变化,数量变化,减少,
甚,,运动与变化,判断,不同,
上报,,社会活动,管理,批准,
出谋献策,,,,,
不信任案,,,,,
反响,,,,,
窝藏,,社会活动,司法,违法,
驱逐,,社会活动,社交,介绍,
耍心机,,,,,
失言,,生物活动,生活工作,惹事,
唱反调,,社会活动,争斗,辩说,
展出,,生物活动,生活工作,娱乐,
入选,,生物活动,际遇,成功,
面露,,,,,
完整,,性质与状态,性状,整缺,
畏缩,,生物活动,心理活动,害怕,
交战,,社会活动,战争,进攻,
颠复,,,,,
与日俱增,,运动与变化,数量变化,增加,
放射,,,,,
情至义尽,,,,,
追思,,生物活动,心理活动,回忆,
相当,,运动与变化,判断,相同,
掘,,生物活动,肢体动作,切割,
苦,,运动与变化,方位变化,垂陷落塌,
苦,,性质与状态,知觉,滋味,
隐含,,运动与变化,判断,包含,
世界,,,,,
傻眼,,生物活动,表情,黯然,
追悔,,生物活动,心理活动,醒悟,
一般,,运动与变化,判断,相同,
一般,,性质与状态,性质,常异,
厌憎,,,,,
呵宠,,,,,
说长道短,,社会活动,社交,说话,
报应,,,,,
喊停,,,,,
劝诫,,社会活动,社交,赞赏-祝贺-劝慰,
扬弃,,运动与变化,数量变化,消除,
催,,社会活动,社交,表达,
压价,,社会活动,经贸,买卖,
无所不言,,,,,
凉,,运动与变化,自然现象变化,冷凝消融,
凉,,性质与状态,知觉,冷暖,
匿称,,,,,
兼顾,,运动与变化,判断,包含,
刻,,生物活动,肢体动作,切割,
刻,,社会活动,文教,绘画,
救护,,社会活动,文教,医治,
吟诵,,社会活动,文教,阅读,
狂呼,,生物活动,头部动作,叫喊,
钝,,性质与状态,知觉,利钝,
扩,,运动与变化,数量变化,增加,
陪笑,,,,,
倒胃口,,生物活动,心理活动,厌恶,
倒胃口,,性质与状态,知觉,滋味,
倒胃口,,性质与状态,性质,好坏,
媚笑,,生物活动,表情,哭笑,
剖心置腹,,,,,
毁谤,,社会活动,社交,批评,
穷迫不舍,,,,,
相似,,运动与变化,判断,相同,
搏斗,,社会活动,争斗,动武,
坚贞,,性质与状态,才品,坚懦,
扳,,生物活动,肢体动作,按触,
兑换,,社会活动,经贸,出纳,
羞于启齿,,,,,
追尾,,运动与变化,方位变化,接触,
呛,,运动与变化,物态变化,滋润,
告状,,社会活动,司法,诉讼,
评介,,社会活动,管理,调查考评,
坦言相告,,,,,
抢白,,社会活动,社交,批评,
消灭,,运动与变化,数量变化,消除,
哈哈大笑,,生物活动,表情,哭笑,
重返,,社会活动,交通,经抵,
编辑,,社会活动,文教,写作,
讨伐,,社会活动,战争,进攻,
精研,,,,,
微乎其微,,性质与状态,形貌,大小,
赌气,,生物活动,心理活动,愤怒,
溢于言表,,运动与变化,事态变化,出现,
了然于胸,对待,性质与状态,性质,隐显,
栽,,生物活动,肢体动作,放置,
栽,,生物活动,全身动作,翻滚,
栽,,社会活动,生产,耕作,
栽,,运动与变化,判断,导致,
跟着,,,,,
裂,,运动与变化,方位变化,分散,
恩惠,,,,,
捉,,生物活动,肢体动作,拿掀,
捉,,社会活动,司法,逮捕,
逊,,,,,
评点,,社会活动,文教,研究,
坦陈,,社会活动,社交,表达,
紧追不舍,,,,,
娇笑,,,,,
挨,,生物活动,生活工作,生活,
挨,,生物活动,际遇,遭灾,
挨,,运动与变化,方位变化,靠近相隔,
挨,,运动与变化,事态变化,推迟,
赞许有加,,,,,
头疼,,生物活动,生理活动,患病,
娴熟,,性质与状态,才品,勤怠,
衔,,生物活动,头部动作,吃喝,
明朗,,运动与变化,自然现象变化,天气变化,
明朗,,性质与状态,知觉,明暗,
明朗,,性质与状态,性质,显隐,
明朗,,性质与状态,才品,乐悲,
招架不住,,,,,
忿忿不平,,,,,
恍然大悟,,生物活动,心理活动,醒悟,
落泪,,生物活动,表情,哭笑,
弄清,,生物活动,生活工作,造福补救,
谈笑,,社会活动,社交,说话,
挂怀,,生物活动,心理活动,回忆,
点破,,运动与变化,事态变化,出现,
得意洋洋,,生物活动,心理活动,高兴,
佩,,生物活动,肢体动作,穿脱,
掐,,生物活动,肢体动作,按触,
伤心欲绝,,,,,
借款,,社会活动,经贸,借贷,
驳斥,,社会活动,社交,批评,
扬眉,,,,,
呵气,,,,,
无情无义,,性质与状态,才品,高下,
交手,,社会活动,争斗,动武,
看轻,,生物活动,心理活动,忽视,
惮忌,,,,,
有话,,,,,
嬉皮笑脸,,生物活动,表情,哭笑,
不通,,运动与变化,方位变化,阻塞,
戏谑,,社会活动,争斗,欺负瞒骗,
详,,性质与状态,性质,详略虚实,
行家,,,,,
出演,,社会活动,文教,演出,
纵,,生物活动,肢体动作,走跑,
纵,,性质与状态,形貌,直曲,
染指,,生物活动,生活工作,参与,
不妙,,性质与状态,性质,好坏,
细述,,,,,
测验,,社会活动,文教,教学,
新说,,,,,
开口道,,,,,
咳嗽,,生物活动,生理活动,患病,
访谈,,社会活动,社交,交际,
祭献,,,,,
忧心,,生物活动,心理活动,悲伤,
萌,,,,,
倒退,,生物活动,生活工作,走动,
倒退,,生物活动,际遇,进退,
大叫大嚷,,,,,
过度,,,,,
坐视不管,,,,,
贯穿,,运动与变化,判断,对应,
噤若寒蝉,,生物活动,心理活动,害怕,
堪称,,运动与变化,判断,是作,
低调,,性质与状态,才品,慎疏,
校正,,社会活动,文教,写作,
扣押,,社会活动,司法,惩办,
卖账,,,,,
加码,,运动与变化,数量变化,增加,
结案,,社会活动,司法,审判,
嘀嘀咕咕,,,,,
留念,,,,,
不置一词,,,,,
例行,,,,,
深受,,生物活动,际遇,遭灾,
召回,,社会活动,管理,禁止,
复苏,,运动与变化,物态变化,好转,
帮困,,社会活动,帮助,帮助,
展颜,,,,,
邀,,社会活动,社交,交际,
盟誓,,社会活动,社交,表达,
接济,,社会活动,帮助,帮助,
举举,,,,,
融,,,,,
奸,,社会活动,司法,违法,
奸,,性质与状态,才品,诚伪,
照射,,运动与变化,自然现象变化,照射发光,
细化,,运动与变化,物态变化,变化,
调度,,社会活动,管理,部署,
升温,,运动与变化,数量变化,增加,
借重,,运动与变化,判断,相关,
欲求,,,,,
顺应,,运动与变化,判断,相配,
标,,运动与变化,判断,显示,
施救,,,,,
心中,,,,,
喝骂,,,,,
激,,运动与变化,事态变化,进行,
激,,性质与状态,性质,重轻,
轻描淡写,,性质与状态,性质,重轻,
趋向,,,,,
倾佩,,,,,
通话,,社会活动,社交,通讯,
传教,,社会活动,信仰,修行,
妄动,,生物活动,生活工作,参与,
没法,,生物活动,心理活动,悲伤,
凑,,运动与变化,方位变化,集中,
掺,,生物活动,肢体动作,摆弄,
记挂,,生物活动,心理活动,回忆,
谋杀,,社会活动,司法,违法,
软化,,运动与变化,物态变化,变化,
软化,,运动与变化,数量变化,减少,
润色,,社会活动,文教,写作,
关怀有加,,,,,
习已为常,,,,,
植,,社会活动,管理,建立,
植,,社会活动,生产,耕作,
问罪,,社会活动,社交,表达,
相容,,生物活动,心理活动,爱护,
毫不容情,,,,,
回叙,,社会活动,社交,表达,
付诸,,社会活动,帮助,取予,
下黑手,,,,,
忖,,,,,
珍重,,生物活动,心理活动,关注,
油然而生,,,,,
神魂颠倒,,生物活动,心理活动,沉迷,
确诊,,社会活动,文教,医治,
抽象,,社会活动,文教,研究,
抽象,,性质与状态,性质,详略虚实,
费心,,社会活动,社交,问候,
求道,,,,,
甘愿,,生物活动,心理活动,愿意,
击败,,社会活动,战争,攻占,
许可,,社会活动,管理,批准,
悲伤,,生物活动,心理活动,悲伤,
禁锢,,社会活动,司法,惩办,
垄断,,社会活动,管理,掌控,
猎杀,,社会活动,司法,违法,
断定,,生物活动,生活工作,使用,
虚情假意,,,,,
闭口不谈,,,,,
胆怯,,生物活动,心理活动,害怕,
胆怯,,性质与状态,才品,坚懦,
绑,,生物活动,肢体动作,包扎,
捡,,生物活动,肢体动作,拿掀,
执礼,,,,,
无价之宝,,,,,
始料未及,,,,,
透彻,,性质与状态,性质,重轻,
深重,,性质与状态,性质,重轻,
竭尽全力,,生物活动,生活工作,生活,
奉迎,,社会活动,争斗,结伙,
见效,,运动与变化,事态变化,已然,
滞后,,,,,
无私奉献,,,,,
闪避,,生物活动,生活工作,走动,
窒息,,生物活动,生理活动,患病,
逼婚,,社会活动,争斗,侵害,
力,,,,,
三心二意,,生物活动,心理活动,犹豫决意,
敬爱有加,,,,,
声言,,社会活动,社交,表达,
漏,,运动与变化,方位变化,畅通,
迟疑不决,,生物活动,心理活动,犹豫决意,
敲响,,生物活动,肢体动作,按触,
浸淫,,运动与变化,物态变化,晾干,
微妙,,性质与状态,性质,难易,
觉醒,,生物活动,心理活动,醒悟,
好转,,生物活动,生理活动,治愈,
好转,,运动与变化,物态变化,好转,
大叫,,生物活动,头部动作,叫喊,
合法,,性质与状态,性质,显隐,
运行,,社会活动,生产,加工,
运行,,运动与变化,方位变化,转动,
喊打喊,,,,,
恋爱,,生物活动,生活工作,婚恋,
虔敬,,性质与状态,才品,谦傲,
偏好,,,,,
撩拨,,社会活动,争斗,欺负瞒骗,
视若不见,,,,,
宽宏大度,,,,,
怨尤,,生物活动,心理活动,厌恶,
守候,,社会活动,战争,守卫,
守候,,社会活动,社交,交际,
守候,,社会活动,帮助,照顾,
暴,,运动与变化,方位变化,翘起,
暴,,性质与状态,性质,重轻,
暴,,性质与状态,才品,刚柔,
搂抱,,生物活动,肢体动作,拿掀,
惨痛,,生物活动,心理活动,悲伤,
并重,,生物活动,心理活动,关注,
措辞,,,,,
粗鲁,,性质与状态,才品,慎疏,
明晰,,性质与状态,知觉,明暗,
钟,,,,,
赶尽杀绝,,性质与状态,才品,善恶,
无把握,,,,,
旧情未了,,,,,
还手,,生物活动,肢体动作,按触,
心存余悸,,,,,
固守,,社会活动,战争,守卫,
有情有意,,,,,
转动,,运动与变化,方位变化,转动,
不可或缺,,性质与状态,性质,主次,
抽血,,,,,
健全,,性质与状态,性质,广狭,
贪污,,社会活动,司法,违法,
揽,,生物活动,肢体动作,拿掀,
揽,,生物活动,生活工作,参与,
揽,,社会活动,管理,掌控,
揽,,社会活动,经贸,贸易,
阻拦,,社会活动,争斗,纠缠,
打消,,运动与变化,数量变化,消除,
歌功颂德,,社会活动,社交,赞赏-祝贺-劝慰,
做鬼脸,,生物活动,表情,假装,
奉劝,,社会活动,社交,赞赏-祝贺-劝慰,
探问,,社会活动,社交,表达,
交口称赞,,,,,
醒悟,,生物活动,心理活动,醒悟,
未了,,运动与变化,事态变化,结束,
撤出,,运动与变化,方位变化,靠近相隔,
失措,,生物活动,心理活动,害怕,
渗入,,生物活动,生活工作,走动,
招生,,社会活动,管理,任免,
憨笑,,生物活动,表情,哭笑,
新建,,社会活动,管理,建立,
轮训,,社会活动,文教,学习,
刹住,,运动与变化,事态变化,结束,
上浮,,运动与变化,数量变化,增加,
爽约,,社会活动,社交,交际,
请安,,生物活动,全身动作,行礼,
请安,,社会活动,社交,问候,
用功,,性质与状态,才品,勤怠,
慎,,,,,
瞩目,,生物活动,头部动作,看听嗅,
郑重其事,,性质与状态,才品,慎疏,
拍手称快,,生物活动,心理活动,高兴,
立项,,社会活动,管理,建立,
徘徊,,生物活动,肢体动作,走跑,
徘徊,,生物活动,心理活动,犹豫决意,
淡薄,,性质与状态,知觉,滋味,
淡薄,,性质与状态,性状,稠稀,
淡薄,,性质与状态,性质,重轻,
行政,,,,,
生动,,性质与状态,性质,灵滞,
打躬,,生物活动,全身动作,行礼,
核算,,生物活动,生活工作,使用,
破解,,社会活动,文教,研究,
破解,,运动与变化,数量变化,消除,
轻举妄动,,性质与状态,才品,慎疏,
任,,生物活动,生活工作,就业,
任,,社会活动,管理,任免,
驯,,社会活动,争斗,动武,
猜度,,生物活动,心理活动,估测,
咏,,社会活动,文教,阅读,
咏,,社会活动,文教,写作,
拉升,,,,,
大胆,,性质与状态,才品,坚懦,
絮,,生物活动,生活工作,起居,
改称,,运动与变化,物态变化,变化,
疑忌,,生物活动,心理活动,相信怀疑,
浓烈,,性质与状态,性质,重轻,
麻痹,,生物活动,心理活动,忽视,
专心,,生物活动,心理活动,关注,
啧啧称奇,,,,,
理智,,性质与状态,才品,智愚,
自杀,,生物活动,生理活动,死亡,
施为,,,,,
化验,,社会活动,文教,医治,
通行,,运动与变化,方位变化,畅通,
积存,,生物活动,生活工作,使用,
不得而知,,生物活动,心理活动,沉迷,
报怨,,社会活动,争斗,决裂,
查问,,社会活动,社交,表达,
吟唱,,社会活动,文教,阅读,
死缠活缠,,,,,
思慕,,生物活动,心理活动,回忆,
先行,,,,,
提亲,,社会活动,社交,介绍,
投送,,生物活动,肢体动作,放置,
投送,,社会活动,社交,通讯,
厌弃,,生物活动,心理活动,厌恶,
微微笑,,,,,
追述,,社会活动,社交,表达,
妨害,,运动与变化,判断,有害,
遥不可及,,,,,
征讨,,社会活动,战争,进攻,
口出秽言,,,,,
喷气,,,,,
寄存,,运动与变化,方位变化,存放,
指使,,社会活动,争斗,侵害,
悔悟,,生物活动,心理活动,醒悟,
投缘,,运动与变化,判断,相配,
耍无赖,,,,,
卫护,,社会活动,帮助,照顾,
甩手,,生物活动,心理活动,忽视,
夸夸其谈,,社会活动,社交,说话,
移动,,生物活动,肢体动作,摆弄,
移动,,运动与变化,方位变化,移动,
误诊,,社会活动,文教,医治,
辞别,,社会活动,社交,交际,
拯救,,社会活动,帮助,帮助,
分级,,生物活动,生活工作,使用,
吆三喝四,,,,,
扭曲,,生物活动,生活工作,惹事,
唾弃,,生物活动,心理活动,忽视,
自私,,性质与状态,才品,公私,
日思,,,,,
更正,,社会活动,文教,写作,
申诉,,社会活动,司法,诉讼,
泄,,运动与变化,方位变化,流动浸泡,
疑幻疑真,,,,,
禀道,,,,,
鉴赏,,生物活动,生活工作,娱乐,
有目共睹,,性质与状态,性质,显隐,
愤懑,,生物活动,心理活动,悲伤,
赌,,生物活动,生活工作,娱乐,
采行,,,,,
找碴,,,,,
忙,,性质与状态,情状,忙闲,
苦刑,,,,,
梳洗,,生物活动,生活工作,起居,
创下,,,,,
冲突,,,,,
素无,,,,,
传唤,,社会活动,司法,审判,
情意绵绵,,,,,
掏心掏肺,,,,,
好意,,,,,
动身,,社会活动,交通,经抵,
硬上弓,,,,,
懂憬,,,,,
辱,,生物活动,生活工作,惹事,
感想,,,,,
恩断义绝,,,,,
立正,,生物活动,肢体动作,坐立,
眼熟,,性质与状态,性质,亲疏,
爱情,,,,,
相见,,运动与变化,方位变化,接触,
普通,,性质与状态,性质,常异,
意味,,运动与变化,判断,显示,
禀明,,社会活动,社交,表达,
抗命,,社会活动,争斗,违背,
想法,,,,,
放生,,生物活动,肢体动作,放置,
存心,,,,,
顶嘴,,社会活动,争斗,辩说,
甜言蜜语,,,,,
出掌,,社会活动,争斗,动武,
判定,,生物活动,生活工作,使用,
亲亲,,,,,
简化,,运动与变化,物态变化,变化,
哺,,生物活动,生活工作,饮食,
阴谋,,生物活动,心理活动,计划,
庆祝,,社会活动,社交,赞赏-祝贺-劝慰,
激增,,运动与变化,数量变化,增加,
闪动,,生物活动,头部动作,眼动,
公允,,性质与状态,才品,公私,
提点,,,,,
欠欠,,,,,
不搭不理,,,,,
赞道,,,,,
退避,,生物活动,生活工作,走动,
忠告,,社会活动,社交,赞赏-祝贺-劝慰,
拜见,,社会活动,社交,交际,
迈出,,生物活动,肢体动作,跳跃,
失忆,,,,,
面试,,社会活动,文教,教学,
察看,,生物活动,生活工作,使用,
无缘,,运动与变化,判断,相关,
拟定,,社会活动,管理,议决,
顾盼,,生物活动,头部动作,看听嗅,
溺宠,,,,,
请客,,生物活动,生活工作,饮食,
怒目相对,,,,,
感念,,生物活动,心理活动,回忆,
自省,,生物活动,心理活动,醒悟,
行窃,,社会活动,司法,违法,
萦,,运动与变化,方位变化,靠近相隔,
验收,,社会活动,管理,调查考评,
翻译,,社会活动,文教,写作,
冷酷无情,,性质与状态,才品,高下,
自问,,生物活动,心理活动,醒悟,
迟到,,运动与变化,事态变化,期满,
默念,,社会活动,文教,阅读,
关押,,社会活动,司法,惩办,
痴狂,,生物活动,心理活动,沉迷,
做主,,社会活动,管理,掌控,
灵,,性质与状态,性质,利弊,
灵,,性质与状态,才品,智愚,
灵,,性质与状态,才品,巧拙,
对立,,运动与变化,事态变化,未然,
对立,,运动与变化,判断,相对,
还礼,,生物活动,全身动作,行礼,
还礼,,社会活动,帮助,赠送,
贴补,,社会活动,帮助,帮助,
若即若离,,性质与状态,性质,亲疏,
忠贞不渝,,,,,
弯身,,生物活动,全身动作,屈伸,
以诚相见,,,,,
好比,,运动与变化,判断,是作,
下诏,,,,,
作践,,社会活动,争斗,侵害,
迫迁,,,,,
恶心,,生物活动,生理活动,患病,
恶心,,生物活动,心理活动,厌恶,
惩戒,,社会活动,司法,惩办,
无愧于心,,,,,
呼来唤去,,,,,
淹,对象,运动与变化,方位变化,流动浸泡,
公示,对象,社会活动,管理,宣布,
歪,对象,运动与变化,方位变化,靠近相隔,
按摩,对象,社会活动,文教,医治,
挑挑捡捡,对待,社会活动,斗争,欺负瞒骗,
论功行赏,对象,社会活动,管理,奖惩,
吞吃,对象,生物活动,头部动作,吃喝,
缝,对象,生物活动,生活工作,起居,
自查,对象,社会活动,管理,调查考评,
出谋划策,对象,社会活动,帮助,帮助,
洞若观火,对象,性质与状态,知觉,明暗,
解救,对象,社会活动,帮助,帮助,
警示,对象,社会活动,文教,教学,
不一定,关涉,性质与状态,情状,定通,
口服心服,对待,生物活动,心理活动,反对赞成,
怒喝,对象,社会活动,社交,批评,
求助,对象,社会活动,社交,请求,
跩,对待,性质与状态,才品,庄谐,
商讨,对象,社会活动,帮助,协商,
软硬兼施,对待,生物活动,心理活动,思考,
惊疑,对待,生物活动,心理活动,相信怀疑,
故技重演,对象,,,,
摇动,范围,运动与变化,方位变化,移动,
百无禁忌,对待,性质与状态,才品,庄谐,
气不打一处,对待,生物活动,心理活动,愤怒,
轻敌,对待,生物活动,心理活动,忽视,
包扎,对象,生物活动,肢体动作,包扎,
钦服,对象,生物活动,心理活动,反对赞成,
灌溉,对象,社会活动,生产,耕作,
手到擒来,对待,性质与状态,性质,难易,
心寒,对待,生物活动,心理活动,害怕,
烙,对象,生物活动,生活工作,起居,
不亢不卑,对待,性质与状态,性质,对错,
言犹在耳,,生物活动,心理活动,回忆,
依从,对待,社会活动,帮助,协商,
传经,,社会活动,信仰,修行,
摇尾,,,,,
越雷池一步,对待,生物活动,心理活动,慎疏,
咨询,,社会活动,社交,表达,
到手,,运动与变化,事态变化,结束,
判罚,,社会活动,司法,审判,
下榻,,生物活动,生活工作,生活,
彻查,,社会活动,管理,调查考评,
惶恐不安,,生物活动,心理活动,害怕,
上台,,社会活动,管理,任免,
援引,,社会活动,文教,研究,
缓慢,,性质与状态,性状,快慢,
准许,,社会活动,管理,批准,
救援,,社会活动,帮助,帮助,
丐,,,,,
尊仰,,,,,
浚,,社会活动,生产,治水治污,
改建,,社会活动,生产,建造,
恋战,,社会活动,争斗,动武,
患得患失,,性质与状态,才品,公私,
生涩,,性质与状态,知觉,滋味,
生涩,,性质与状态,性质,难易,
招惹,,运动与变化,判断,导致,
迷糊,,生物活动,生理活动,患病,
相让,,社会活动,帮助,协商,
出场,,社会活动,文教,演出,
收起,,,,,
查证,,社会活动,管理,调查考评,
报请,,社会活动,社交,表达,
牢骚,,,,,
禁闭,,社会活动,司法,惩办,
落户,,生物活动,生活工作,生活,
飨,,,,,
啜,,生物活动,头部动作,吃喝,
尽力而为,,,,,
悭吝,,性质与状态,才品,公私,
不用说,,,,,
凶狠,,性质与状态,才品,善恶,
至死不,,,,,
清晰,,性质与状态,知觉,明暗,
灌服,,,,,
表观,,,,,
多嘴多舌,,,,,
淘汰,,运动与变化,数量变化,减少,
转岗,,运动与变化,物态变化,变化,
处刑,,社会活动,司法,审判,
张榜,,社会活动,管理,宣布,
轻声细语,,,,,
预留,,运动与变化,判断,有无,
不再,,,,,
连哄带骗,,,,,
兄弟,,,,,
取舍,,生物活动,生活工作,使用,
略,,性质与状态,性质,详略虚实,
途经,,社会活动,交通,经抵,
住院,,社会活动,文教,医治,
投保,,社会活动,帮助,照顾,
火冒三丈,,生物活动,心理活动,愤怒,
动工,,社会活动,生产,建造,
动工,,运动与变化,事态变化,开始,
处之,,,,,
守法,,社会活动,帮助,协商,
掩掩盖盖,,,,,
对答如流,,性质与状态,才品,能庸,
带走,,生物活动,生活工作,走动,
号召,,社会活动,管理,宣传,
追施,,,,,
追溯,,社会活动,文教,研究,
贪婪,,性质与状态,才品,公私,
无师自通,,生物活动,心理活动,了解,
 边整边改 ,对象,社会活动,管理,部署,
富,对待,性质与状态,性状,多少,
出游,,生物活动,生活工作,娱乐,
益,,,,,
体味,,生物活动,心理活动,了解,
惊羡,,生物活动,心理活动,喜欢,
指教,,社会活动,社交,问候,
大书特书,,,,,
畅所欲言,,社会活动,社交,说话,
售卖,,社会活动,经贸,买卖,
失察,,生物活动,心理活动,忽视,
蛮横,,性质与状态,才品,进守,
地处,,运动与变化,判断,处于,
探险,,生物活动,生活工作,生活,
刻骨,,性质与状态,性质,重轻,
慰勉,,社会活动,社交,赞赏-祝贺-劝慰,
吉利,,生物活动,际遇,走运,
废,,运动与变化,数量变化,消除,
废,,性质与状态,性状,密疏,
废,,性质与状态,性质,利弊,
再现,,运动与变化,事态变化,出现,
督,,,,,
放在眼中,,,,,
加分,,,,,
索然乏味,,,,,
辩称,,社会活动,争斗,辩说,
从重,,生物活动,生活工作,使用,
逐一,,,,,
赖以,,运动与变化,判断,起源,
查对,,社会活动,管理,调查考评,
摸排,,,,,
试点,,生物活动,生活工作,参与,
来不得,,,,,
麻痹大意,,生物活动,心理活动,忽视,
流通,,运动与变化,方位变化,流动浸泡,
不妥,,性质与状态,性质,对错,
抗衡,,运动与变化,判断,相同,
待客,,社会活动,社交,介绍,
出海,,社会活动,交通,驾驶,
相连,,运动与变化,方位变化,结合,
处决,,社会活动,司法,惩办,
贿赂,,,,,
历练,,性质与状态,才品,能庸,
玩世不恭,,性质与状态,才品,庄谐,
求全,,生物活动,心理活动,希望,
护养,,社会活动,生产,维修养护,
护养,,社会活动,帮助,照顾,
断奶,,运动与变化,事态变化,结束,
携带,,生物活动,生活工作,走动,
磋商,,社会活动,帮助,协商,
聚众,,生物活动,际遇,聚散,
用地,,,,,
亏,,生物活动,际遇,收益,
计量,,生物活动,生活工作,使用,
输血,,社会活动,文教,医治,
订立,,社会活动,帮助,协商,
运送,,社会活动,交通,运输,
标价,,社会活动,经贸,买卖,
诚意,,,,,
持以,,,,,
检修,,社会活动,生产,维修养护,
拆毁,,运动与变化,物态变化,损坏,
破除,,运动与变化,数量变化,消除,
拣,,生物活动,生活工作,使用,
好似,,运动与变化,判断,相同,
考试,,社会活动,文教,教学,
超载,,社会活动,交通,运输,
前往,,生物活动,生活工作,走动,
着重,,生物活动,心理活动,关注,
平衡,,社会活动,经贸,积累,
平衡,,性质与状态,情状,齐乱,
躲开,,运动与变化,事态变化,未然,
拘泥,,性质与状态,才品,庄谐,
拘泥,,性质与状态,才品,巧拙,
刀,,,,,
参考,,社会活动,文教,研究,
上攻,,,,,
详细,,性质与状态,性质,详略虚实,
损毁,,社会活动,争斗,侵害,
雇佣,,社会活动,管理,任免,
拜拜,,社会活动,社交,问候,
抚养,,社会活动,帮助,养育,
速度,,,,,
下海,,生物活动,生活工作,就业,
挣脱,,生物活动,生活工作,参与,
不合,,运动与变化,判断,相对,
汇集,,运动与变化,方位变化,集中,
搜救,,社会活动,帮助,帮助,
因势利导,,社会活动,文教,教学,
尽忠尽职,,,,,
合算,,生物活动,生活工作,使用,
合算,,生物活动,际遇,收益,
反攻,,社会活动,战争,抵抗,
独占,,社会活动,管理,掌控,
苏醒,,生物活动,生理活动,睡眠,
忽冷忽热,,,,,
急于求成,,生物活动,心理活动,害怕,
拜伏,,,,,
陪礼,,,,,
掌教,,,,,
去粗取精,,社会活动,文教,研究,
豢养,,社会活动,争斗,结伙,
眩,,,,,
耐烦,,性质与状态,才品,慎疏,
受让,,,,,
招安,,社会活动,战争,攻占,
徇私,,社会活动,司法,违法,
看多,,,,,
剃,,生物活动,肢体动作,切割,
摘发,,,,,
留给,,,,,
感激涕,,,,,
捐,,社会活动,帮助,赠送,
置信,,生物活动,心理活动,相信怀疑,
沾,,运动与变化,方位变化,接触,
鸣笛,,生物活动,头部动作,叫喊,
裁撤,,社会活动,管理,任免,
收入,,,,,
判明,,生物活动,生活工作,使用,
来临,,,,,
混乱,,性质与状态,情状,安危,
混乱,,性质与状态,情状,齐乱,
能够,,生物活动,心理活动,应该能够,
