ID,Mode,Proficiency,L1,Verb,Native_COLL,Native,Textbook,Reliability,Accessibility,Functions,Semantics,Textbook_COLL
ZML_TH,W,NNS2,TH,有,Attracted,19.49,87.12,Yes,1,Concerned,Functional,Attracted
LWL_ID,W,NNS2,Other,生气,Attracted,0.17,0.00,Yes,2,Stimulus,Psych,Repelled
NS_ML,W,NNS2,FR,生气,Attracted,0.17,0.00,Yes,2,Stimulus,Psych,Repelled
JXJ_KR,W,NNS2,KR,道歉,Attracted,0.22,0.00,No,3,Target,Communication,Repelled
JDHN_KR,W,NNS2,KR,重要,Repelled,0.72,9.27,Yes,2,Concerned,Attribute,Attracted
YTJ_JP,W,NNS2,JP,感谢,Attracted,0.02,0.00,Yes,3,Stimulus,Psych,Repelled
JDR_KR,W,NNS2,KR,感谢,Attracted,0.02,0.00,Yes,3,Stimulus,Psych,Repelled
ABM_CM,W,NNS2,EN,感谢,Attracted,0.02,0.00,Yes,3,Stimulus,Psych,Repelled
GAXZ_JP,W,NNS2,JP,感谢,Attracted,0.02,0.00,Yes,3,Stimulus,Psych,Repelled
PRL_KR,W,NNS2,KR,是,Attracted,6.62,18.54,Yes,1,Concerned,Functional,Repelled
SHZ_KR,W,NNS2,KR,一无所知,Attracted,0.45,0.00,No,6,Theme,Psych,Repelled
WHY_TH,W,NNS2,TH,一样,Repelled,0.21,0.00,Yes,2,Recipient,Manner,Repelled
CRHI_KR,W,NNS2,KR,一见钟情,Attracted,0.16,0.00,Yes,6,Stimulus,Psych,Repelled
MEL_RU,S,NNS2,RU,上瘾,Attracted,0.07,0.00,Yes,5,Stimulus,Psych,Repelled
HRL_KH,W,NNS2,Other,不利,Attracted,0.79,0.00,Yes,6,Concerned,Attribute,Repelled
WYMU_SD,W,NNS2,AR,不满,Attracted,0.58,0.00,Yes,6,Stimulus,Psych,Repelled
HJ_RU,W,NNS2,RU,不满,Attracted,0.58,0.00,Yes,6,Stimulus,Psych,Repelled
WM_RU,W,NNS2,RU,不满,Attracted,0.58,0.00,Yes,6,Stimulus,Psych,Repelled
LTQ_PE,W,NNS2,ES,严厉,Attracted,0.07,0.00,Yes,5,Recipient,Manner,Repelled
